EmployeeID_ID,SurveyDate,Score,Comments
1,2024-01-15T10:00:00Z,85,Great team collaboration and clear goals
2,2024-01-15T10:30:00Z,92,Love the technical challenges and growth opportunities
3,2024-01-15T11:00:00Z,78,Good work-life balance but could use more mentoring
4,2024-01-15T11:30:00Z,88,Excellent testing processes and team support
5,2024-01-15T12:00:00Z,90,Fulfilling work helping employees grow
6,2024-01-15T12:30:00Z,82,Recruiting is challenging but rewarding
7,2024-01-15T13:00:00Z,87,Creative freedom and good marketing budget
8,2024-01-15T13:30:00Z,79,Content creation is fun but deadlines are tight
9,2024-01-15T14:00:00Z,91,Strong sales team and good commission structure
10,2024-01-15T14:30:00Z,75,Learning a lot but targets are aggressive
11,2024-01-15T15:00:00Z,89,Financial planning is strategic and impactful
12,2024-01-15T15:30:00Z,84,Good analytical work with room for innovation
13,2024-01-15T16:00:00Z,93,Product strategy is exciting and forward-thinking
14,2024-01-15T16:30:00Z,86,Mobile development is cutting-edge
15,2024-01-15T17:00:00Z,81,Infrastructure work is critical but sometimes stressful
16,2024-01-15T17:30:00Z,88,Design work is creative and user-focused
17,2024-01-15T18:00:00Z,90,Data science projects are intellectually stimulating
18,2024-01-15T18:30:00Z,83,Brand work is creative but needs more resources
19,2024-01-15T19:00:00Z,87,Technical sales combines engineering and business well
20,2024-01-15T19:30:00Z,85,HR partnership work is meaningful and varied
